video_name,track_id,y_var,y_std,straightness_ratio,walking_band_energy,arm_angle_var,cluster
input_ped_2.mp4,1,10.157179027652859,3.1870329505125703,2.006536711945982,7.188133548750687,115.74164081508908,0
input_ped_2.mp4,2,1.1652213949020802,1.079454211581983,1.595771357016304,1.2056939396537014,335.50287060102136,0
input_ped_2.mp4,3,1.885552999491637,1.3731543975429845,1.7317549621643797,1.7608014948665414,39.14970415204058,0
input_ped_3.mp4,1,15.993686201819207,3.9992106973525674,1.1546880450967478,7.001089717981183,659.4654410587642,0
input_ped_3.mp4,63,12.30328568603856,3.50760398078782,1.02537033111669,5.010882684949135,394.0885038531256,0
input_ped_3.mp4,66,6.663302374572465,2.581337322895337,1.1606991128565123,3.8738471153445744,1368.381625546774,0
input_ped_1.mp4,74,3.5811008988697584,1.8923796920464344,1.3789588217647708,4.937468723379677,1471.0890681929725,0
input_ped_4.mp4,74,58.58019669764198,7.653770096994159,1.4925811502901416,9.813791698831537,2646.402794298874,0
input_ped_4.mp4,103,6.477491809919662,2.54509170953026,1.158613044881951,7.729798504471736,2411.1866013973945,0
input_ped_4.mp4,105,2.6837770598217374,1.6382237514520834,1.1598706271778496,3.83900698315312,189.90914918011254,0
input_ped_4.mp4,108,3.511217624778918,1.8738243313552416,1.2925557115684725,3.005397310688651,1807.6055057129395,0
input_pmd_5.mp4,121,1.1092768709218117,1.0532221375008273,1.0043815420784323,1.399923340081513,43.54613349050779,1
input_pmd_4.mp4,130,7.994088580267332,2.827381930384951,1.0066513050115358,5.879068859384146,87.7895955342065,1
input_pmd_3.mp4,131,2.241383792854434,1.4971251760806221,1.0091262429437808,0.19625709889337017,62.97593287438864,1
input_pmd_2.mp4,131,1.455199207016043,1.2063163793201364,1.0489431892579077,0.7245425280410818,362.86378727551534,1
input_pmd_2.mp4,134,1.5745642998180507,1.2548164406868643,1.0232528473228568,1.6122747837228315,0.0,0
input_pmd_1.mp4,137,1.66571314442504,1.290625098324467,1.0311223697417418,0.4899281238888766,2386.1387335784357,1
input_pmd_1.mp4,138,1.8144891170152357,1.3470297387271135,1.1076233868565752,1.0064825220083282,55.03660475616516,1
