video_name,track_id,y_var,y_std,straightness_ratio,dominant_freq,walking_band_energy
input_ped_2.mp4,1,103.94395325750997,10.195290739233972,2.006536711945982,1.0,7.188133548750687
input_ped_2.mp4,2,4.488070073183374,2.1185065667076355,1.595771357016304,1.6483516483516483,1.2056939396537014
input_ped_2.mp4,3,342.4175384474992,18.504527512138733,1.7317549621643797,1.978021978021978,1.7608014948665414
input_ped_2.mp4,4,3.027045093571437,1.7398405368226817,1.0236614142266425,1.5789473684210527,0.7256195263565459
input_ped_2.mp4,20,209834.6549924463,458.07712777702216,2.9202486046353373,1.4285714285714284,46.73338579616603
input_ped_2.mp4,26,63.63695242681417,7.977277256483829,1.259467330983101,1.8181818181818181,4.203344659561626
input_ped_2.mp4,46,49.97102260332148,7.06901850353509,1.4457276481091241,1.7647058823529411,4.518099503197162
input_ped_2.mp4,51,119.05152479937442,10.911073494362249,1.0907996379247944,2.142857142857143,5.505198973025022
input_ped_3.mp4,1,276.05769633279925,16.614984090657423,1.1546880450967478,2.0930232558139537,7.001089717981183
input_ped_3.mp4,63,970.1334617798841,31.146965530848814,1.0332528124175488,2.2018348623853212,6.452619041463367
input_ped_3.mp4,66,13946.313123139154,118.09450928446739,1.254594935309547,1.0344827586206897,5.338584010517128
input_ped_3.mp4,73,30.733496469950936,5.543779980297823,1.4656391378372937,3.75,27.65502340406566
input_ped_1.mp4,74,62.4403068422612,7.901917921761855,1.3789588217647708,2.0,4.937468723379677
input_ped_1.mp4,75,152.18668410498861,12.336396722908543,1.2264204652213933,1.1111111111111112,1.1659331970166003
input_ped_1.mp4,77,4.158536730985127,2.039249060557618,2.307057551952144,1.7647058823529411,0.5013898261339809
input_ped_4.mp4,74,3742.9657077440615,61.17978185433535,1.4925811502901416,1.9834710743801653,9.813791698831537
input_ped_4.mp4,103,335.10288748199207,18.3058156737686,1.6104234584411687,2.2727272727272725,12.715693094032684
input_ped_4.mp4,104,6.755830804409803,2.5991981079574913,1.158613044881951,1.75,7.729798504471736
input_ped_4.mp4,106,5000.20623254486,70.7121363879275,1.1598706271778496,1.8072289156626506,3.83900698315312
input_ped_4.mp4,109,2778.9667102456665,52.71590566656013,1.2925557115684725,1.9672131147540985,3.005397310688651
input_pmd_5.mp4,122,3.323142237152994,1.8229487752410911,1.0043815420784323,3.0,1.399923340081513
input_pmd_4.mp4,129,7.980555054070191,2.8249876201622888,16.727333135512467,1.3636363636363638,0.2083464548595173
input_pmd_4.mp4,131,32.376449040862155,5.690030671346347,1.0066513050115358,2.5,5.879068859384146
input_pmd_3.mp4,129,11.301143707391502,3.361717374704706,14.713042733763574,3.6263736263736264,7.1992631888920435
input_pmd_3.mp4,132,114.01405524257514,10.677736428783732,1.0091262429437808,1.0,0.19625709889337017
input_pmd_2.mp4,129,7.485145850169411,2.735899459075463,17.96320609769685,1.3186813186813187,6.242392825683004
input_pmd_2.mp4,132,11.898681288061516,3.449446519089913,1.0489431892579077,1.3432835820895523,0.7245425280410818
input_pmd_2.mp4,135,1694.277389253871,41.16160090732467,1.0232528473228568,1.973684210526316,1.6122747837228315
input_pmd_1.mp4,129,2.6057816750096747,1.614243375395939,19.091876801084673,1.125,0.3416189890790483
input_pmd_1.mp4,138,145.75916962999725,12.07307622894833,1.0672408196585974,12.613636363636365,0.19874824161448
input_pmd_1.mp4,139,54.004896538724715,7.348802388057847,1.2636820397814135,3.0882352941176467,1.2717474225249377
